EU_circo;code_region;region;chef_lieu;num_dpt;nom_ddpt;pref;num_circ;nom_commune;codes_postaux;code_insee;latitude;longitude;dist
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Frangy;74270;74131;46.016667;5.933333;1.64
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Bassy;74910;74029;45.983333;5.816667;2.16
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Alex;74290;74003;45.883333;6.233333;1.29
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Allonzier-la-Caille;74350;74006;46;6.116667;0.82
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Andilly;74350;74009;46.05;6.066667;1.04
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Annecy-le-Vieux;74940;74011;45.916667;6.15;1
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Argonay;74370;74019;;;
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Aviernoz;74570;74022;45.966667;6.216667;0.93
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Bloye;74150;74035;45.816667;5.933333;1.69
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Bluffy;74290;74036;45.866667;6.216667;1.35
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Dingy-Saint-Clair;74230;74102;45.9;6.216667;2.03
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Droisy;74270;74107;45.966667;5.883333;1.86
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Eloise;01200;74109;46.083333;5.866667;1.94
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Epagny;74330;74112;45.933333;6.1;1.51
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Evires;74570;74120;46.033333;6.233333;0.99
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Franclens;74910;74130;46.033333;5.816667;2.16
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Groisy;74570;74137;46.016667;6.183333;1.14
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Hauteville-sur-Fier;74150;74141;45.9;5.983333;1.41
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;La Balme-de-Sillingy;74330;74026;45.966667;6.033333;1.19
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Le Sappey;74350;74259;46.083333;6.166667;1.46
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Les Ollières;74370;74204;45.966667;6.183333;1.24
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Lornay;74150;74151;45.916667;5.9;1.79
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Lovagny;74330;74152;45.9;6.033333;1.19
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Marcellaz-Albanais;74150;74161;45.866667;6;1.35
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Marigny-Saint-Marcel;74150;74165;45.833333;5.983333;1.58
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Massingy;74150;74170;45.833333;5.933333;1.64
Sud-Est;82;Rhône-Alpes;Lyon;74;Haute-Savoie;Annecy;1;Menthonnex-en-Bornes;74350;74177;46.05;6.183333;1.48
